sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,26.0,0.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,1149.0,0.0
1.0,30.0,0.0,3.0,0.0,0.0,1.0,1050.0,2.0,0.0,1040.0,1.0
1.0,,0.0,5.0,1.0,0.0,3.0,0.0,5.0,1.0,1102.0,0.0
1.0,24.0,0.0,8.0,0.0,0.0,3.0,1.0,5.0,0.0,314.0,1.0
1.0,45.0,0.0,6.0,0.0,0.0,19.0,1.0,7.0,1.0,48.0,1.0
1.0,,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,784.0,0.0
1.0,28.0,0.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,811.0,0.0
0.0,45.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,96.0,0.0
0.0,22.0,0.0,6.0,0.0,0.0,1.0,528.0,7.0,0.0,905.0,0.0
1.0,,0.0,8.0,0.0,0.0,3.0,19.0,7.0,0.0,303.0,0.0
