sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,32.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,34.0,1.0
1.0,22.0,0.0,5.0,0.0,0.0,0.0,1.0,5.0,0.0,84.0,0.0
1.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1115.0,0.0
1.0,,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,66.0,0.0
0.0,38.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1181.0,0.0
1.0,41.0,0.0,2.0,0.0,0.0,9.0,1.0,1.0,8.0,252.0,0.0
1.0,34.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,150.0,1.0
1.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,962.0,0.0
1.0,37.0,0.0,7.0,0.0,0.0,1.0,9.0,1.0,0.0,93.0,0.0
1.0,46.0,0.0,7.0,0.0,0.0,18.0,1.0,3.0,0.0,962.0,1.0
