sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,24.0,0.0,4.0,0.0,0.0,1.0,37.0,4.0,0.0,763.0,0.0
1.0,26.0,1.0,8.0,1.0,0.0,6.0,1.0,3.0,0.0,202.0,1.0
1.0,22.0,0.0,9.0,0.0,0.0,4.0,1.0,9.0,574.0,714.0,1.0
1.0,21.0,0.0,7.0,0.0,0.0,3.0,8.0,8.0,0.0,963.0,0.0
1.0,37.0,0.0,9.0,0.0,0.0,23.0,1.0,4.0,16.0,23.0,1.0
1.0,35.0,0.0,5.0,0.0,0.0,2.0,1.0,5.0,4.0,1051.0,0.0
1.0,53.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,968.0,0.0
1.0,60.0,0.0,1.0,0.0,0.0,1.0,1183.0,1.0,0.0,780.0,0.0
1.0,29.0,0.0,4.0,0.0,0.0,7.0,1.0,3.0,0.0,773.0,0.0
1.0,48.0,1.0,8.0,0.0,0.0,23.0,1.0,5.0,640.0,687.0,1.0
