sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,819.0,0.0
0.0,24.0,0.0,5.0,0.0,0.0,1.0,628.0,5.0,0.0,1110.0,0.0
1.0,26.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,4.0,257.0,0.0
1.0,35.0,0.0,3.0,0.0,0.0,7.0,1.0,3.0,194.0,1045.0,0.0
1.0,50.0,0.0,4.0,0.0,0.0,3.0,0.0,6.0,25.0,690.0,1.0
1.0,30.0,0.0,8.0,0.0,0.0,1.0,1135.0,9.0,0.0,1043.0,0.0
1.0,25.0,0.0,6.0,0.0,0.0,3.0,1.0,4.0,1.0,263.0,1.0
0.0,65.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,169.0,1.0
0.0,31.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,444.0,1.0
0.0,24.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,805.0,0.0
