sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,32.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1159.0,0.0
0.0,34.0,0.0,9.0,0.0,0.0,5.0,1.0,2.0,25.0,343.0,1.0
1.0,23.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,945.0,1.0
1.0,52.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,971.0,0.0
1.0,20.0,0.0,10.0,1.0,1.0,1.0,1.0,10.0,12.0,31.0,0.0
1.0,38.0,0.0,4.0,0.0,0.0,5.0,1.0,2.0,5.0,852.0,0.0
1.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1143.0,0.0
1.0,27.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,1.0
1.0,20.0,0.0,3.0,0.0,0.0,2.0,17.0,5.0,0.0,32.0,0.0
0.0,51.0,0.0,1.0,0.0,0.0,1.0,291.0,1.0,0.0,933.0,0.0
