sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,29.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,723.0,1.0
1.0,39.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,1030.0,0.0
0.0,22.0,0.0,7.0,1.0,1.0,2.0,681.0,5.0,0.0,764.0,0.0
0.0,33.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,927.0,0.0
0.0,25.0,0.0,8.0,0.0,0.0,2.0,38.0,7.0,0.0,178.0,1.0
0.0,40.0,0.0,2.0,0.0,0.0,7.0,19.0,1.0,0.0,202.0,1.0
0.0,,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,900.0,0.0
1.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,242.0,1.0
1.0,53.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,940.0,0.0
1.0,28.0,0.0,4.0,0.0,1.0,2.0,1.0,3.0,12.0,705.0,0.0
