sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,24.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,56.0,0.0
1.0,43.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,126.0,1.0
0.0,33.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,919.0,0.0
1.0,,0.0,3.0,0.0,0.0,0.0,1.0,4.0,8.0,786.0,0.0
1.0,,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,800.0,0.0
1.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1169.0,0.0
1.0,69.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1168.0,0.0
1.0,32.0,0.0,5.0,0.0,0.0,5.0,1.0,4.0,0.0,363.0,0.0
1.0,22.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,0.0,116.0,1.0
1.0,46.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,78.0,843.0,0.0
