sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
0.0,31.0,0.0,6.0,0.0,0.0,2.0,1.0,3.0,117.0,1073.0,0.0
0.0,26.0,0.0,5.0,0.0,0.0,1.0,1.0,4.0,1.0,489.0,0.0
1.0,25.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,830.0,0.0
1.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,864.0,0.0
1.0,40.0,0.0,3.0,0.0,0.0,5.0,1.0,1.0,0.0,1116.0,0.0
1.0,35.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,1092.0,0.0
1.0,27.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,3.0,912.0,0.0
1.0,33.0,0.0,9.0,0.0,0.0,12.0,1.0,9.0,2.0,200.0,1.0
1.0,36.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,40.0,1176.0,0.0
1.0,,0.0,2.0,0.0,0.0,2.0,23.0,3.0,0.0,1127.0,0.0
