sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,,0.0,4.0,0.0,0.0,2.0,23.0,4.0,0.0,405.0,0.0
1.0,23.0,0.0,10.0,0.0,0.0,5.0,1.0,9.0,31.0,340.0,1.0
0.0,21.0,0.0,8.0,3.0,1.0,4.0,463.0,8.0,0.0,489.0,0.0
1.0,23.0,0.0,4.0,0.0,0.0,1.0,1.0,6.0,3.0,1149.0,0.0
1.0,30.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1104.0,0.0
0.0,45.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,11.0,509.0,0.0
1.0,27.0,0.0,5.0,0.0,0.0,2.0,1.0,4.0,8.0,448.0,1.0
1.0,57.0,0.0,9.0,0.0,0.0,6.0,132.0,5.0,0.0,370.0,0.0
1.0,44.0,0.0,6.0,0.0,0.0,8.0,782.0,5.0,0.0,231.0,1.0
0.0,26.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,845.0,0.0
