sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,55.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,12.0,1049.0,0.0
0.0,30.0,0.0,5.0,0.0,0.0,5.0,168.0,2.0,0.0,390.0,1.0
1.0,30.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,929.0,0.0
1.0,,0.0,7.0,0.0,0.0,2.0,1.0,6.0,0.0,1175.0,0.0
1.0,45.0,0.0,8.0,0.0,0.0,38.0,1.0,8.0,120.0,462.0,1.0
1.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,819.0,0.0
0.0,,0.0,6.0,0.0,0.0,15.0,10.0,2.0,0.0,862.0,0.0
1.0,63.0,0.0,9.0,0.0,0.0,16.0,910.0,5.0,0.0,928.0,0.0
1.0,49.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1131.0,0.0
1.0,49.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,45.0,0.0
