sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
1.0,28.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0
1.0,21.0,0.0,8.0,0.0,0.0,0.0,1.0,10.0,4.0,141.0,1.0
1.0,26.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,1141.0,0.0
1.0,34.0,0.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,1068.0,0.0
1.0,,2.0,8.0,0.0,0.0,15.0,1.0,5.0,6.0,108.0,0.0
1.0,38.0,0.0,4.0,0.0,1.0,10.0,1.0,3.0,10.0,418.0,1.0
1.0,22.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,742.0,0.0
1.0,,0.0,5.0,0.0,0.0,2.0,1.0,3.0,0.0,137.0,1.0
0.0,57.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1049.0,0.0
0.0,56.0,0.0,1.0,0.0,0.0,1.0,20.0,1.0,0.0,1015.0,0.0
